Missing_Count,AVG_NN_RMSE,AVG_Spline_RMSE,AVG_Linear_RMSE,AVG_Stine_RMSE,AVG_KF_RMSE,AVG_AA_RMSE,AVG_LOCF_RMSE,SD_NN_RMSE,SD_Spline_RMSE,SD_Linear_RMSE,SD_Stine_RMSE,SD_KF_RMSE,SD_AA_RMSE,SD_LOCF_RMSE
4,12.452325218614652,2.771778268099253,3.4882620476983996,2.9762979688601923,2.6852220142931604,57.281870956923356,9.924388327829972,10.64760318238315,3.404782331248827,3.4202065414591676,3.113198734237478,2.8974354618277607,47.17362184032549,9.85760552712982
5,12.683374155893157,3.4512402017413457,4.265496514833169,3.639179986018393,3.344058924519261,57.964082554547815,11.912707500246535,10.513606512340187,3.6154806718453916,4.179626365984885,3.6696407681185166,3.3541332814349407,44.74767866959322,11.594119191956189
6,13.04945326661536,4.146056405682719,5.073337824678858,4.338310770049612,3.9607088889675715,60.15301218162922,13.671074825351957,10.464498458329937,4.383350029106171,4.886625973722541,4.307594383099267,3.892299481436506,46.464760792863494,13.511741871323055
7,13.188258360564696,4.662569147809267,5.531982811070587,4.686324658477695,4.379059422134107,59.66637796276237,14.633873500062716,10.571319890103409,5.252412704727382,4.910852292988214,4.18596003503491,4.253820670554176,47.0949907464787,13.50141955991654
8,13.87747370181541,5.682676640587646,7.124578789343355,6.155189460840908,5.609483186337618,62.706938610654625,17.072383718683746,11.051116712180809,6.588559949149306,7.1722227991054,6.499695886497431,6.009984797947245,49.20346857979449,16.255282424223072
9,14.22723783183912,6.3926926067320755,7.344717930462196,6.324891227091273,6.113425684938675,57.893016193031016,18.377220838377873,11.005316898899853,7.103315192647911,7.143758288432175,6.5677802396635885,6.439618258454456,46.10696416130986,16.401864828747534
10,14.699098084759395,7.049998995532729,8.133053957663044,7.035283626662768,6.681719280173479,59.9347511346629,19.507342608965114,10.989599182992501,6.665100384395723,6.9550897852971545,6.1924239642879115,5.65791819475253,47.755851723532736,17.656363837623353
11,15.666383349243,7.796475188293433,9.487410122269957,8.023817371389304,7.470974262507024,58.694092748969936,22.35238304102513,11.684690189142446,7.33240770700612,8.656298307282986,7.510200097677313,6.707490886386554,44.894242755434576,19.6746255290265
12,15.058959355951009,8.82143144581031,9.14527786803321,8.027357662227658,8.155478924661336,59.24011977686583,22.754334712126102,10.67235649781486,8.638515219301555,7.978010377973052,7.108226496697955,6.9933685568795045,44.797288128755326,19.160241822736698
24,22.94127805319771,18.48284005980787,18.819395384602533,16.661840561979897,16.966910996137628,61.13800609287553,35.79110228760445,16.636174902523855,17.01227690374077,15.328287390341618,13.665449742480305,13.549049375388059,40.46921893998149,28.286851969765124
48,39.913264999156034,39.04835597811491,33.94148330674715,31.80973887261794,35.950577774005794,65.74035962604499,52.089826506155404,25.597129566371425,38.24410827173266,24.016783541056036,23.159111377407434,28.19969785289995,36.363432013477485,36.93845256515092
96,54.703017753966854,84.26622582062421,50.86967363907062,54.8828525299296,72.19504395784612,66.15364378571178,63.62508984774723,28.590797234994895,109.1271401121532,28.47969740775682,33.02983460795237,53.14426615788144,31.13382433617442,36.728247282813115
